UnderwrittenCoverID,PolicyID,TransactionMonth,IsVATRegistered,Citizenship,LegalType,Title,Language,Bank,AccountType,MaritalStatus,Gender,Country,Province,PostalCode,MainCrestaZone,SubCrestaZone,ItemType,Mmcode,VehicleType,RegistrationYear,Make,Model,Cylinders,Cubiccapacity,Kilowatts,Bodytype,NumberOfDoors,VehicleIntroDate,CustomValueEstimate,AlarmImmobiliser,TrackingDevice,CapitalOutstanding,NewVehicle,WrittenOff,Rebuilt,Converted,CrossBorder,NumberOfVehiclesInFleet,SumInsured,TermFrequency,CalculatedPremiumPerTerm,ExcessSelected,CoverCategory,CoverType,CoverGroup,Section,Product,StatutoryClass,StatutoryRiskType,TotalPremium,TotalClaims
19,5555,2015-03-03 23:24:34,True,Other,Sole Proprietor,Ms,Zulu,FNB,Savings,Single,Male,South Africa,Gauteng,4620,Zone B,Sub Zone 2,Vehicle,80603,Light Commercial,2012,Volkswagen,Corolla,4,1770,168,SUV,2,2011-10-15 09:54:44,354378.6439221828,False,False,33976.317454229575,False,False,False,False,False,2,267824.6611320522,Monthly,991.4159417755184,1684.347084229324,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,692.0235575879345,2258.5083097509046
20,4385,2015-03-17 23:05:23,False,South Africa,Close Corporation,Ms,Afrikaans,FNB,Savings,Married,Male,South Africa,KwaZulu-Natal,4190,Zone A,Sub Zone 1,Vehicle,27045,Passenger,2012,BMW,Ranger,4,1896,175,Sedan,4,2010-10-12 08:30:54,128924.86334897482,True,True,170586.61235944423,True,False,False,False,False,4,336842.8143688713,Monthly,2946.693292048977,1743.6117440014275,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1696.1153797186957,0.0
21,7396,2014-03-31 09:50:34,True,South Africa,Close Corporation,Dr,Afrikaans,Absa,Current,Single,Female,South Africa,Gauteng,9789,Zone B,Sub Zone 2,Vehicle,50741,Passenger,2002,Toyota,Ranger,4,1491,73,Hatchback,4,2000-07-02 18:21:48,280945.69629428664,False,False,63493.34872651107,False,False,False,False,False,4,327129.51014104683,Monthly,2618.222030300871,994.6420683263996,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,758.5189989409444,0.0
22,9666,2014-09-10 08:18:38,True,Other,Sole Proprietor,Dr,English,Absa,Current,Married,Female,South Africa,Western Cape,1391,Zone B,Sub Zone 1,Vehicle,98306,Passenger,2010,BMW,Corolla,6,2462,51,Sedan,4,2007-03-23 00:10:04,241436.9724226325,True,True,119640.37915877177,False,False,False,False,False,1,211152.29742692152,Monthly,2780.1587352094093,4640.269599038803,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1583.1110204271222,33874.922418621085
23,3558,2014-09-20 07:19:22,True,Other,Close Corporation,Ms,Zulu,Absa,Savings,Divorced,Male,South Africa,Eastern Cape,2075,Zone B,Sub Zone 1,Vehicle,52770,Light Commercial,2000,Volkswagen,3 Series,5,2806,141,Hatchback,3,2006-09-09 21:00:20,450748.01694625954,True,True,77978.95284259997,False,False,False,False,False,2,240697.2860507848,Monthly,855.386046638293,874.3759230466708,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2211.45666307155,30482.68012896831
24,8849,2014-04-08 22:12:04,True,South Africa,Close Corporation,Dr,Afrikaans,FNB,Savings,Single,Female,South Africa,Gauteng,3650,Zone A,Sub Zone 2,Vehicle,17887,Light Commercial,2002,Ford,Polo,5,2070,198,Sedan,4,2012-03-04 17:27:13,243304.98476320787,True,False,80465.25135173224,True,False,False,False,False,4,193215.5499349043,Monthly,1028.2898974171126,4414.163171696846,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3136.616565069846,5083.551090699086
25,3047,2014-12-16 23:47:07,False,Other,Close Corporation,Mrs,Zulu,FNB,Current,Single,Female,South Africa,Gauteng,3384,Zone A,Sub Zone 1,Vehicle,34918,Passenger,2010,Ford,3 Series,6,1084,166,Hatchback,3,2000-11-08 22:21:12,290199.3771807669,True,False,146492.89583549032,False,False,False,False,False,2,499783.1591369538,Monthly,2013.5414608793726,2024.646099702137,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1348.8131989834906,0.0
26,3747,2014-03-20 16:48:32,True,South Africa,Sole Proprietor,Mrs,Zulu,Absa,Savings,Single,Female,South Africa,Western Cape,1809,Zone A,Sub Zone 1,Vehicle,45497,Light Commercial,2008,Ford,3 Series,4,2709,102,Hatchback,3,2013-07-23 13:10:07,479878.78820082004,False,False,72295.02506798774,True,False,False,False,False,3,311029.0042929752,Monthly,1754.345552506748,1346.3824175537582,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2370.2439574468235,0.0
27,1189,2014-09-21 19:28:21,True,South Africa,Close Corporation,Dr,English,Absa,Savings,Single,Female,South Africa,Western Cape,9047,Zone B,Sub Zone 2,Vehicle,71009,Light Commercial,2013,Ford,Polo,7,2081,95,SUV,4,2004-10-17 20:42:36,184861.29464355405,False,False,138615.0225940974,False,False,False,False,False,1,91424.89449385802,Monthly,1246.2584763676223,992.5447641933066,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,993.9557670344169,0.0
28,3734,2015-01-10 06:26:17,True,South Africa,Sole Proprietor,Dr,English,Absa,Current,Divorced,Female,South Africa,Gauteng,6501,Zone B,Sub Zone 1,Vehicle,21929,Light Commercial,2014,Toyota,Polo,4,1990,94,Hatchback,4,2009-08-09 08:59:32,180045.91937387362,True,False,2865.6910904604206,True,False,False,False,False,2,283598.232665736,Monthly,2709.615749343116,2521.7116495413507,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1561.8915708266723,0.0
29,4005,2014-11-02 14:57:44,True,South Africa,Close Corporation,Mrs,Zulu,FNB,Savings,Married,Female,South Africa,Western Cape,7895,Zone B,Sub Zone 1,Vehicle,71762,Passenger,2008,Toyota,Polo,7,1710,58,SUV,2,2006-02-24 18:50:49,409817.7859739192,True,True,64929.4780007752,False,False,False,False,False,2,72482.88410232795,Monthly,2753.4715388389327,3346.2927149478314,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3341.712425708998,0.0
30,5658,2015-02-21 19:18:26,False,Other,Close Corporation,Mr,Zulu,FNB,Current,Single,Male,South Africa,Western Cape,2159,Zone B,Sub Zone 1,Vehicle,89099,Light Commercial,2006,Volkswagen,Ranger,7,1208,55,SUV,2,2011-02-05 20:04:33,174892.5437647859,True,False,63808.80627073253,False,False,False,False,False,1,179893.42174083466,Monthly,1229.210025366528,4491.105152302406,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2742.9227467481946,0.0
31,2899,2015-01-22 22:07:53,False,Other,Sole Proprietor,Mrs,Zulu,Standard Bank,Current,Divorced,Female,South Africa,Western Cape,8574,Zone A,Sub Zone 2,Vehicle,38546,Passenger,2002,Volkswagen,Polo,6,2271,100,SUV,3,2008-05-30 18:30:40,424339.64153294225,True,True,149767.0571793434,True,True,False,False,False,3,250682.50218928242,Monthly,889.3828514798495,3262.232918550672,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2137.4172925615153,0.0
32,8734,2015-04-04 00:43:07,True,South Africa,Close Corporation,Mrs,Zulu,FNB,Current,Single,Female,South Africa,Western Cape,2531,Zone A,Sub Zone 2,Vehicle,88424,Light Commercial,2012,Volkswagen,Polo,5,2234,168,Sedan,3,2010-06-30 21:27:58,92991.02421274023,False,False,62911.423205125575,False,False,False,False,False,2,290421.71897086035,Monthly,872.7310519257837,2418.3124513638504,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1255.0903974684848,0.0
33,2267,2015-03-19 16:54:41,True,South Africa,Close Corporation,Dr,English,FNB,Current,Married,Male,South Africa,Western Cape,6481,Zone A,Sub Zone 2,Vehicle,47338,Light Commercial,2002,Volkswagen,3 Series,5,1038,84,Sedan,4,2010-03-24 23:15:21,100067.56128926078,True,True,126665.42647301659,True,False,False,False,False,1,489281.6298777147,Monthly,1711.0629884798477,167.38032289113082,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1639.1156679316662,46576.667896086015
34,2528,2014-04-28 20:07:07,True,South Africa,Sole Proprietor,Mrs,Afrikaans,FNB,Savings,Single,Male,South Africa,Eastern Cape,8548,Zone B,Sub Zone 2,Vehicle,44283,Passenger,2003,BMW,3 Series,5,2275,131,Hatchback,4,2010-10-27 22:19:38,455595.5183732473,True,True,137704.88042157298,False,False,False,False,False,4,491999.7757118684,Monthly,832.2962385033823,4577.1345283780975,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,970.0800015575435,22823.242398285955
35,4556,2014-08-22 06:11:45,True,South Africa,Sole Proprietor,Dr,English,Absa,Current,Divorced,Male,South Africa,Western Cape,5976,Zone B,Sub Zone 2,Vehicle,92494,Light Commercial,2006,Volkswagen,Corolla,5,2666,196,SUV,2,2010-12-07 09:19:59,293365.5271170959,True,True,131685.10883942305,False,False,False,False,False,1,94131.21645785948,Monthly,1683.3505552380632,4511.846214912199,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1560.4015792911825,0.0
36,4890,2014-08-26 11:56:36,True,South Africa,Sole Proprietor,Dr,Afrikaans,FNB,Savings,Married,Male,South Africa,KwaZulu-Natal,6695,Zone A,Sub Zone 1,Vehicle,88170,Light Commercial,2006,Ford,3 Series,6,1925,74,SUV,4,2010-04-17 01:07:41,373466.4200124074,False,True,120658.7362097329,True,False,False,False,False,4,292159.7027433001,Monthly,1654.8351821496435,1893.5848366041246,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,951.8984788615769,0.0
37,9838,2014-12-23 01:32:06,True,Other,Sole Proprietor,Ms,Zulu,Absa,Savings,Divorced,Female,South Africa,Gauteng,9445,Zone B,Sub Zone 1,Vehicle,94787,Light Commercial,2011,Ford,Polo,7,2826,188,Hatchback,3,2001-05-17 22:53:18,151380.00133814494,True,True,82723.36986987894,True,False,False,False,False,2,417699.2278364513,Monthly,2710.2755330141426,145.1733133780625,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2885.9210990333427,0.0
38,6393,2015-08-11 04:50:33,False,Other,Sole Proprietor,Mrs,Afrikaans,Standard Bank,Savings,Married,Female,South Africa,Eastern Cape,4548,Zone A,Sub Zone 2,Vehicle,56566,Passenger,2011,Ford,Ranger,5,1761,66,SUV,4,2000-10-12 01:03:10,124823.46577194873,False,False,74660.99553676209,True,False,False,True,False,2,156970.76911373963,Monthly,1240.5260995000926,3666.847757538019,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,742.2772698268645,0.0
39,9792,2014-06-09 14:29:00,True,Other,Close Corporation,Mr,English,Standard Bank,Savings,Married,Female,South Africa,Eastern Cape,7163,Zone B,Sub Zone 1,Vehicle,95464,Light Commercial,2013,BMW,3 Series,7,2976,85,Hatchback,2,2006-05-23 19:11:10,425729.41800468805,False,True,112916.81167517793,False,False,False,False,False,2,387753.39436481224,Monthly,1901.6311466024436,3958.404384285661,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1068.2164394213153,0.0
40,9433,2015-03-22 14:11:28,False,Other,Sole Proprietor,Ms,English,Absa,Savings,Married,Female,South Africa,Western Cape,7671,Zone B,Sub Zone 1,Vehicle,91991,Light Commercial,2001,Volkswagen,3 Series,6,2436,145,SUV,3,2004-06-05 17:49:09,211380.53316046196,True,False,12740.620496865262,True,False,False,False,False,3,445378.5750672407,Monthly,2358.749660710241,2712.329147776735,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2573.500189342262,0.0
41,8513,2015-01-07 04:22:39,False,South Africa,Close Corporation,Dr,Zulu,Absa,Current,Single,Male,South Africa,Gauteng,6264,Zone A,Sub Zone 1,Vehicle,38013,Light Commercial,2011,Ford,Polo,4,1945,70,Sedan,2,2009-01-10 05:59:13,254764.6786048975,True,True,175163.9684103052,True,False,False,False,False,3,348119.32821595634,Monthly,1989.786987624766,2014.3749263141037,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3207.5501372617364,0.0
42,3612,2014-05-03 19:06:07,True,South Africa,Close Corporation,Dr,English,Absa,Current,Divorced,Female,South Africa,KwaZulu-Natal,2231,Zone A,Sub Zone 1,Vehicle,62132,Light Commercial,2014,Ford,3 Series,6,2469,67,Hatchback,2,2010-08-05 01:20:41,62587.35377391154,True,False,165063.02860606863,False,False,False,False,False,4,197466.5069803035,Monthly,2885.1696124503424,4255.664189014995,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3393.7748293028053,34038.62779624286
43,8041,2014-07-26 16:39:13,False,South Africa,Close Corporation,Mr,Zulu,FNB,Current,Divorced,Female,South Africa,Western Cape,3423,Zone B,Sub Zone 2,Vehicle,97412,Light Commercial,2004,Ford,3 Series,5,1051,195,Hatchback,3,2006-09-26 23:17:10,223646.3303868349,False,True,69276.94340743792,True,False,False,False,False,1,465409.5437032577,Monthly,2005.693701249425,962.582083433784,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3008.0687502223304,0.0
44,7235,2014-09-03 03:17:09,False,South Africa,Sole Proprietor,Dr,English,Standard Bank,Current,Divorced,Male,South Africa,Gauteng,9071,Zone A,Sub Zone 2,Vehicle,38084,Passenger,2006,Ford,Polo,4,1373,50,Sedan,2,2010-07-07 23:57:54,396697.0136562403,False,True,113363.82467712625,True,False,False,False,False,4,447584.042153376,Monthly,2754.65544617528,2197.790946079104,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1134.4153290986749,0.0
45,6486,2014-12-07 19:50:40,False,South Africa,Sole Proprietor,Mrs,English,Absa,Savings,Married,Female,South Africa,Western Cape,5261,Zone A,Sub Zone 1,Vehicle,31143,Passenger,2006,Toyota,3 Series,6,2549,191,Hatchback,4,2002-01-31 17:21:22,419573.8297787762,True,False,186445.53963689264,False,False,False,False,False,1,372121.3934573169,Monthly,1112.6409731343574,122.43055359345334,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1357.1338574961492,0.0
46,8099,2014-08-14 21:07:09,False,Other,Close Corporation,Ms,Zulu,FNB,Current,Single,Female,South Africa,Western Cape,3908,Zone B,Sub Zone 1,Vehicle,24179,Light Commercial,2005,Volkswagen,Ranger,6,1930,185,Sedan,4,2007-09-18 15:56:00,364439.65499714384,False,False,54327.359482419335,False,False,False,False,False,2,213650.6510467279,Monthly,1901.8819319485908,820.0526398874308,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3112.2570589956586,0.0
47,1775,2014-02-13 07:31:58,False,South Africa,Sole Proprietor,Dr,Afrikaans,Standard Bank,Savings,Married,Female,South Africa,Western Cape,5712,Zone B,Sub Zone 2,Vehicle,68726,Light Commercial,2009,Volkswagen,Corolla,7,1155,100,SUV,2,2012-03-20 20:57:45,361480.88009468396,True,True,148491.05353897068,False,False,False,False,False,1,406353.3630776597,Monthly,1858.264816416636,4704.1561733900535,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3167.9988942323325,0.0
48,9226,2015-08-19 22:29:44,False,Other,Sole Proprietor,Dr,English,FNB,Savings,Divorced,Female,South Africa,Western Cape,7755,Zone B,Sub Zone 1,Vehicle,20222,Passenger,2009,BMW,3 Series,6,2977,128,Sedan,4,2010-09-10 04:42:45,277807.66996872105,True,True,16546.361464201033,False,False,False,False,False,3,192249.04167596353,Monthly,2973.6302753502086,2890.4162518237877,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2421.9594974603374,0.0
49,4152,2015-08-13 06:58:47,True,Other,Sole Proprietor,Mr,Afrikaans,Standard Bank,Current,Single,Male,South Africa,Western Cape,4883,Zone A,Sub Zone 1,Vehicle,69965,Light Commercial,2011,Toyota,Ranger,4,2565,85,Sedan,2,2006-02-03 20:58:52,292248.19816692034,True,False,104674.4294941942,False,False,False,False,True,1,163828.7831001068,Monthly,1011.2657834978088,4027.9616476390925,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1440.92329756061,0.0
50,2585,2015-05-25 04:09:30,False,Other,Sole Proprietor,Mrs,English,FNB,Current,Single,Male,South Africa,Western Cape,4515,Zone B,Sub Zone 1,Vehicle,74068,Light Commercial,2007,BMW,3 Series,6,2113,111,Hatchback,4,2012-07-09 22:10:14,384184.28606591455,True,True,176793.82588945952,True,False,False,False,False,1,281756.0241100765,Monthly,852.4834959149437,2432.5020705135676,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1172.16998913793,0.0
51,4943,2014-11-01 02:25:17,False,Other,Close Corporation,Dr,English,Standard Bank,Current,Single,Male,South Africa,Western Cape,4403,Zone B,Sub Zone 2,Vehicle,33949,Light Commercial,2002,Ford,Corolla,5,2926,178,SUV,2,2003-01-03 13:56:04,161285.8094724753,True,True,110341.8568298147,False,False,False,False,False,2,498710.8512505628,Monthly,2029.180194076051,4174.1354900427,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3056.848097788239,0.0
52,8555,2014-05-03 19:34:27,False,South Africa,Close Corporation,Mr,English,Standard Bank,Current,Divorced,Male,South Africa,KwaZulu-Natal,5598,Zone B,Sub Zone 2,Vehicle,26116,Light Commercial,2014,BMW,Polo,7,1678,134,Sedan,4,2001-12-25 08:40:44,154182.6807107252,True,False,123250.56536742028,False,False,False,False,False,2,411944.87364535447,Monthly,1059.2303583301582,2694.752554206594,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1115.7649953492673,0.0
